|0.34|-0.01|9.57|
|0.24|-0.06|9.78|
|0.29|0.03|9.47|
|0.23|0.03|9.56|
|0.19|0.03|9.61|
|0.16|0.04|9.60|
|0.21|0.00|9.55|
|0.11|0.05|9.61|
|0.11|0.05|9.76|
|0.07|0.05|9.91|
|0.17|-0.01|9.87|
|0.22|0.03|9.60|
|0.24|0.02|9.70|
|0.30|0.07|9.65|
|0.15|0.01|9.49|
|0.03|-0.02|9.67|
|0.08|-0.05|9.73|
|0.12|-0.02|9.60|
|0.16|0.00|9.62|
|0.18|0.00|9.71|
|0.12|-0.02|9.86|
|0.12|-0.02|9.90|
|0.03|-0.06|10.05|
|0.11|-0.10|10.00|
|0.20|0.02|9.85|
|0.16|0.04|9.79|
|0.33|0.04|9.59|
|0.35|0.06|9.55|
|0.24|0.06|9.41|
|0.11|0.08|9.57|
|0.11|0.06|9.63|
|0.19|0.07|9.64|
|0.19|0.10|9.52|
|0.20|0.10|9.86|
|0.07|0.05|9.86|
|0.11|0.05|9.58|
|0.13|0.07|9.82|
|0.13|0.11|9.53|
|0.03|0.14|9.62|
|0.10|0.07|9.75|
|0.13|0.06|9.66|
|0.19|0.04|9.60|
|0.19|0.08|9.46|
|0.25|0.08|9.77|
|0.20|0.05|9.70|
|0.18|0.01|9.69|
|0.14|0.00|9.90|
|0.15|0.06|9.99|
|0.27|0.09|9.75|
|0.29|0.10|9.64|
|0.21|0.09|9.67|
|0.18|0.05|9.77|
|0.26|0.01|9.75|
|0.26|0.01|9.94|
|0.11|0.07|9.94|
|0.20|0.03|9.86|
|0.21|0.09|9.85|
|0.20|0.01|9.90|
|0.28|-0.06|10.00|
|0.30|-0.02|9.80|
|0.15|0.06|9.72|
|0.12|0.02|9.67|
|0.09|0.00|9.72|
|0.09|0.02|9.82|
|0.09|0.02|9.84|
|0.13|0.02|9.68|
|0.17|0.01|9.78|
|0.19|-0.07|9.70|
|0.17|0.05|9.71|
|0.10|0.16|9.75|
|0.18|0.07|9.91|
|0.22|0.01|9.81|
|0.19|0.04|9.74|
|0.19|0.03|9.73|
|0.18|0.09|9.64|
|0.18|0.11|9.49|
|0.10|0.11|9.65|
|-0.01|0.05|9.64|
|0.20|0.07|9.52|
|0.28|-0.01|9.27|
|0.11|0.08|9.39|
|0.18|0.04|9.78|
|0.21|-0.06|9.73|
|0.15|-0.03|9.69|
|0.16|-0.01|9.69|
|0.10|0.01|9.67|
|0.21|0.00|9.67|
|0.21|-0.15|9.72|
|0.25|-0.01|9.72|
|0.19|0.10|9.74|
|0.12|0.07|9.78|
|0.18|0.05|9.78|
|0.38|0.03|9.76|
|0.31|-0.03|9.93|
|0.19|-0.02|9.85|
|0.15|0.04|9.75|
|0.23|0.06|9.60|
|0.23|0.07|9.84|
|0.16|0.07|9.84|
|0.25|0.02|9.85|
|0.22|0.06|9.69|
|0.21|0.09|9.50|
|0.13|0.09|9.33|
|0.13|0.14|9.22|
|0.11|0.11|9.41|
|0.15|0.10|9.56|
|0.11|0.08|9.41|
|0.11|0.13|9.29|
|0.10|0.13|9.66|
|0.11|-0.03|9.66|
|0.06|0.05|9.60|
|0.17|0.07|9.54|
|0.12|0.16|9.54|
|0.02|0.14|9.57|
|0.07|0.08|9.67|
|0.07|0.06|9.67|
|0.10|0.06|9.67|
|0.14|0.01|9.61|
|0.14|0.03|9.65|
|0.11|0.03|9.75|
|0.10|-0.01|9.75|
|0.20|0.03|9.70|
|0.19|0.04|9.52|
|0.21|0.16|9.37|
|0.22|0.13|9.57|
|0.20|0.03|9.69|
|0.16|0.02|9.67|
|0.11|0.03|9.67|
|0.26|-0.02|9.81|
|0.20|-0.02|9.89|
|0.43|-0.01|9.89|
|0.35|0.07|9.62|
|0.11|0.13|9.85|
|0.08|0.06|9.83|
|0.11|0.08|9.61|
|0.10|0.04|9.47|
|0.10|0.02|9.57|
|0.11|-0.01|9.60|
|0.13|-0.06|9.70|
|0.29|-0.08|9.61|
|0.16|-0.08|9.80|
|0.20|-0.06|9.49|
|0.40|-0.02|9.41|
|0.32|-0.02|9.43|
|0.16|0.02|9.29|
|0.22|-0.06|9.43|
|0.28|0.00|9.34|
|0.13|0.01|9.59|
|0.20|0.01|9.75|
|0.21|0.01|9.69|
|0.18|-0.03|9.74|
|0.18|0.02|9.68|
|0.18|0.02|9.87|
|0.16|0.02|9.87|
|0.15|-0.02|9.70|
|0.16|-0.05|9.80|
|0.25|-0.02|9.49|
|0.21|0.03|9.85|
|0.13|0.09|9.86|
|0.08|0.10|9.80|
|0.11|0.08|9.74|
|0.07|0.02|9.77|
|0.20|-0.04|9.64|
|0.20|-0.04|9.83|
|0.25|-0.08|9.83|
|0.23|-0.04|9.93|
|0.19|0.00|9.90|
|0.34|0.03|9.67|
|0.44|0.02|9.63|
|0.18|0.06|9.69|
|0.12|0.04|9.72|
|0.14|0.06|9.66|
|0.15|0.05|9.70|
|0.16|0.06|9.69|
|0.11|0.06|9.68|
|0.14|0.09|9.66|
|0.13|0.06|9.67|
|0.19|0.07|9.60|
|0.18|0.09|9.67|
|0.26|0.07|9.71|
|0.10|0.02|9.69|
|0.12|0.00|9.56|
|0.16|0.03|9.67|
|0.26|-0.02|9.71|
|0.19|0.02|9.72|
|0.21|0.01|9.61|
|0.10|0.03|9.67|
|0.14|0.04|9.71|
|0.18|0.07|9.72|
|0.21|0.06|9.68|
|0.17|0.09|9.61|
|0.16|0.03|9.66|
|0.16|0.01|9.68|
|0.16|0.02|9.74|
|0.15|0.01|9.67|
|0.16|0.02|9.69|
|0.16|0.02|9.67|
|0.14|0.01|9.72|
|0.17|0.06|9.67|
|0.12|0.04|9.67|
|0.15|0.06|9.64|
|0.15|0.06|9.67|
|0.15|0.05|9.69|
|0.14|0.02|9.67|
|0.11|0.03|9.64|
|0.15|0.06|9.69|
|0.18|0.05|9.71|
|0.17|0.02|9.66|
|0.19|0.03|9.72|
|0.14|0.04|9.70|
|0.17|0.02|9.67|
|0.16|0.05|9.65|
|0.13|0.02|9.67|
|0.18|0.08|9.66|
|0.18|0.10|9.68|
|0.15|-0.01|9.69|
|0.32|0.01|9.78|
|0.28|0.10|9.51|
|0.19|0.11|9.90|
|0.11|0.07|9.95|
|0.00|0.01|9.63|
|0.08|0.00|9.52|
|0.19|0.04|9.67|
|0.32|0.00|9.48|
|0.32|0.06|9.66|
|0.11|0.04|9.66|
|0.27|0.07|9.66|
|0.20|0.08|9.67|
|0.22|0.05|9.67|
|0.17|0.06|9.66|
|0.14|0.01|9.63|
|0.18|0.06|9.65|
|0.16|0.06|9.64|
|0.19|0.01|9.70|
|0.17|-0.01|9.66|
|0.12|0.05|9.67|
|0.17|0.01|9.70|
|0.20|0.03|9.67|
|0.17|0.06|9.64|
|0.13|0.03|9.67|
|0.15|0.06|9.70|
|0.16|0.04|9.70|
|0.11|-0.01|9.71|
|0.13|0.04|9.66|
|0.16|0.03|9.63|
|0.16|0.03|9.67|
|0.16|0.00|9.67|
|0.16|0.01|9.68|
|0.15|-0.02|9.70|
|0.15|0.02|9.69|
|0.19|0.03|9.67|
|0.16|0.04|9.72|
|0.22|0.00|9.79|
|0.16|0.06|9.70|
|0.12|0.07|9.54|
|0.20|0.07|9.69|
|0.15|0.08|9.65|
|0.14|0.05|9.56|
|0.14|-0.04|9.77|
|0.11|0.04|9.65|
|0.28|0.00|9.51|
|0.15|0.05|9.82|
|0.11|0.00|9.72|
|0.28|0.02|9.68|
|0.25|0.04|9.72|
|0.22|0.06|9.69|
|0.16|0.05|9.68|
|0.14|0.06|9.64|
|0.12|0.05|9.68|
|0.15|0.04|9.65|
|0.16|0.03|9.68|
|0.16|0.00|9.63|
|0.12|0.07|9.67|
|0.11|0.04|9.68|
|0.14|0.04|9.67|
|0.08|0.04|9.68|
|0.14|0.00|9.67|
|0.16|0.01|9.67|
|0.13|-0.05|9.71|
|0.16|0.01|9.67|
|0.13|0.03|9.71|
|0.16|0.00|9.68|
|0.20|0.02|9.69|
|0.13|0.00|9.67|
|0.19|0.00|9.67|
|0.14|0.01|9.73|
|0.17|0.04|9.72|
|0.16|0.04|9.67|
|0.15|0.04|9.74|
|0.16|0.02|9.72|
|0.15|0.01|9.72|
|0.16|-0.04|9.70|
|0.16|-0.02|9.86|
|0.13|0.11|9.58|
|0.19|0.04|9.83|
|0.12|0.04|9.81|
|0.22|0.02|9.45|
|0.10|0.02|9.74|
|0.09|0.04|9.67|
|0.18|0.05|9.66|
|0.10|0.07|9.67|
|0.15|-0.03|9.66|
|0.17|0.03|9.68|
